business_name,document_number,entity_type,filing_date,status,principal_address,mailing_address,city,state,zip,registered_agent,officer_name,officer_title,fei_number
WICHY AUTO DETAILING LLC,L26000465830,Florida Limited Liability Company,09/03/2026,Active,"632 FARWAY AVE, LAKELAND, FL 33801","632 FARWAY AVE, LAKELAND, FL 33801",LAKELAND,FL,33801,DE JESUS MORALES LUIS A,LUIS A DE JESUS MORALES,MGR,
PURPOSE DRIVEN BRANDS LLC,L26000465960,Florida Limited Liability Company,09/03/2026,Active,"1819 3RD ST SE, WINTER HAVEN, FL 33880","1819 3RD ST SE, WINTER HAVEN, FL 33880",WINTER HAVEN,FL,33880,BRYANT BRETT C,BRETT C BRYANT,MGR,
ALL MARSHALLZ TRUCKING LLC,L26000466470,Florida Limited Liability Company,09/03/2026,Active,"1273 TUPELO TRAIL, HAINES CITY, FL 33844","1273 TUPELO TRAIL, HAINES CITY, FL 33844",HAINES CITY,FL,33844,MARSHALL TAGHEME,TAGHEME MARSHALL,MGR,
GARZA PROPERTY SOLUTIONS LLC,L26000466870,Florida Limited Liability Company,09/01/2026,Active,"470 CITI CENTRE STREET, #1108, WINTER HAVEN, FL 33880","470 CITI CENTRE STREET, #1108, WINTER HAVEN, FL 33880",WINTER HAVEN,FL,33880,ZENBUSINESS INC.,GERALDO GARZA,AMBR,
"MVP PUDDING, PEANUTS, & PUNCH LLC",L26000466970,Florida Limited Liability Company,08/29/2026,Active,"2093 LUNN LANDINGS BLVD, LAKELAND, FL 33811","2093 LUNN LANDINGS BLVD, LAKELAND, FL 33811",LAKELAND,FL,33811,VONADOR MARCUS A,MARCUS VONADOR,MGR,
SSR RIDE SOLUTIONS LLC,L26000465771,Florida Limited Liability Company,09/03/2026,Active,"1944 CARNOSTIE ROAD, WINTER HAVEN, FL 33884","7901 4TH STREET N, SUITE 300, SAINT PETERSBURG, FL 33702",WINTER HAVEN,FL,33884,ROWE SULENE S,,,
A&C ABREU TRANSPORT LLC,L26000466291,Florida Limited Liability Company,09/03/2026,Active,"602 PARADISE ISLAND WAY, HAINES CITY, FL 33844","602 PARADISE ISLAND WAY, HAINES CITY, FL 33844",HAINES CITY,FL,33844,ABREU CARLOS,CARLOS ABREU VILLAVICENCIO,AMBR,
MPKS EVENTS & MULTISERVICES LLC,L26000466431,Florida Limited Liability Company,09/03/2026,Active,"440 MEADOW POINTE DRIVE, HAINES CITY, FL 33844","440 MEADOW POINTE DRIVE, HAINES CITY, FL 33844",HAINES CITY,FL,33844,ORTIZ RIVERA KATHIRYA M,KATHIRYA M ORTIZ RIVERA,CEO,
MDA CONCRETE LLC,L26000467091,Florida Limited Liability Company,09/04/2026,Active,"2417 W PARKER STREET, LAKELAND, FL 33815","2417 W PARKER STREET, LAKELAND, FL 33815",LAKELAND,FL,33815,LEYVA BLADIMIR,CANDELARIA GARCIA,MGR,
VERLINE VENTURES LLC,L26000467401,Florida Limited Liability Company,09/04/2026,Active,"7545 CARLTON ARMS BLVD, 7545, WINTER HAVEN, FL 33884","7545 CARLTON ARMS BLVD, 7545, WINTER HAVEN, FL 33884",WINTER HAVEN,FL,33884,PROSPER VERLINE,VERLINE PROSPER,AMBR,
APEX PRESTIGE CONSULTING LLC,L26000465722,Florida Limited Liability Company,09/03/2026,Active,"1112 MARTIN ST APT B, HAINES CITY, FL 33844","1112 MARTIN ST APT B, HAINES CITY, FL 33844",HAINES CITY,FL,33844,PRIETO JONATHAN,JONATHAN PRIETO,AMBR,
TWO OF A KIND PARTNERS LLC,L26000465882,Florida Limited Liability Company,09/03/2026,Active,"1259 LAKE DEESON PT, 0, LAKELAND, FL 33805","1259 LAKE DEESON PT, 0, LAKELAND, FL 33805",LAKELAND,FL,33805,NORTHWEST REGISTERED AGENT LLC,JAYLEN A NIEVES RUIZ,MGR,
BEELEGACY HEALTHCARE TRAINING & ACADEMY LLC,L26000465663,Florida Limited Liability Company,09/03/2026,Active,"148 MIRO DR, DAVENPORT, FL 33837","PO BOX 93, LAUGHMAN, FL 33858",DAVENPORT,FL,33837,LEGERME BEATRICE P,BEATRICE P LEGERME,AMBR,
"BUILTPRO , LLC",L26000466063,Florida Limited Liability Company,08/28/2026,Active,"365 EARLENE ROAD, HAINES CITY, FL 33844","365 EARLENE ROAD, HAINES CITY, FL 33844",HAINES CITY,FL,33844,FILS DIEUNITE,JESUS A RUBIO,AMBR,
KBPHARMA CONSULTING LLC,L26000466703,Florida Limited Liability Company,09/04/2026,Active,"1058 BRIMSTONE CIRCLE, WINTER HAVEN, FL 33884","1058 BRIMSTONE CIRCLE, WINTER HAVEN, FL 33884",WINTER HAVEN,FL,33884,ENTITY PROTECT RA SERVICES,KENNETH BROECKER,AMBR,
MELEAN L.L.C,L26000467103,Florida Limited Liability Company,09/04/2026,Active,"1405 SUGARWOOD ST, DAVENPORT, FL 33837","1405 SUGARWOOD ST, DAVENPORT, FL 33837",DAVENPORT,FL,33837,MELEAN PORRAS HILARY,HILARY MELEAN PORRAS,AMBR,
VIBE INFUSIONS LUXE LLC,L26000465764,Florida Limited Liability Company,09/03/2026,Active,"3290 LAURENT LOOP, DAVENPORT, FL 33837","3290 LAURENT LOOP, DAVENPORT 33837",DAVENPORT,FL,33837,TORRES RODRIGUEZ PERLIMAR,PERLIMAR TORRES RODRIGUEZ,AMBR,
LATHERGREEN YOUTH LLC,L26000466084,Florida Limited Liability Company,09/01/2026,Active,"304 CHADWICK DRIVE, DAVENPORT, FL 33837","304 CHADWICK DRIVE, DAVENPORT, FL 33837",DAVENPORT,FL,33837,ALAYOKU ASHLEY,ASHLEY ALAYOKU,AP,
"NELCE CONSTRUCTION, LLC",L26000465465,Florida Limited Liability Company,09/03/2026,Active,"1760 RED LOOP, LAKELAND, FL 33801","1760 RED LOOP, LAKELAND, FL 33801",LAKELAND,FL,33801,SANCHEZ NELFA C,NELFA C SANCHEZ,AMBR,
BQN HOLDINGS INC.,P26000044445,Domestic Profit Corporation,09/04/2026,Active,"5601 MOON VALLEY DR, LAKELAND, FL 33812","5601 MOON VALLEY DR, LAKELAND, FL 33812",LAKELAND,FL,33812,NGUYEN BAO Q,BAO Q NGUYEN,PSTD,
"M M M EXPRESS ENTERPRISES, LLC",L26000465845,Florida Limited Liability Company,09/01/2026,Active,"829 BLUE CREEK DR, HAINES CITY, FL 33844","829 BLUE CREEK DR, HAINES CITY, FL 33844",HAINES CITY,FL,33844,MORRISON MAURICE,MAURICE MORRISON,PRES,
VORTEX FORGE LLC,L26000466045,Florida Limited Liability Company,09/03/2026,Active,"1690 LAUREL OAKS DRIVE, BARTOW, FL 33830","1690 LAUREL OAKS DRIVE, BARTOW, FL 33830",BARTOW,FL,33830,CONNER JOHNATHAN,,,
BATERIA FOUNDATION INC,N26000012475,DOMN,09/03/2026,Active,"276 CITRUS POINTE DR, HAINES CITY, FL 33844","276 CITRUS POINTE DR, HAINES CITY, FL 33844",HAINES CITY,FL,33844,BASAURI JOSHUA M,JOSHUA M BASAURI,P,
"DR MERCER ESTATES, LLC",L26000466885,Florida Limited Liability Company,09/04/2026,Active,"8841 PARK-BYRD RD, LAKELAND, FL 33810","8841 PARK-BYRD RD, LAKELAND, FL 33810",LAKELAND,FL,33810,INC AUTHORITY RA,RYAN MERCER,MGR,
