business_name,document_number,entity_type,filing_date,status,principal_address,mailing_address,city,state,zip,registered_agent,officer_name,officer_title,fei_number
PRIMESHIFT MOBILE AUTO REPAIR LLC,L26000456800,Florida Limited Liability Company,08/31/2026,Active,"279 CLOVERDALE ROAD, WINTER HAVEN, FL 33884","279 CLOVERDALE ROAD, WINTER HAVEN, FL 33884",WINTER HAVEN,FL,33884,PLAIN MALIK J,MALIK J PLAIN,AMBR,
JTA COMMERCIAL L.L.C.,L26000456920,Florida Limited Liability Company,08/31/2026,Active,"2262 ERIKSON PARK LN, AUBURNDALE, FL 33823","2262 ERIKSON PARK LN, AUBURNDALE, FL 33823",AUBURNDALE,FL,33823,ENTITY PROTECT RA SERVICES,DAMION FRANCIS,AMBR,
BAEZ DIGITAL CO LLC,L26000457490,Florida Limited Liability Company,08/30/2026,Active,"621 VITTORIO DRIVE, WINTER HAVEN, FL 33884","621 VITTORIO DRIVE, WINTER HAVEN, FL 33884",WINTER HAVEN,FL,33884,BAEZ ROBLES CHRISTIAN O,CHRISTIAN O BAEZ ROBLES,AMBR,
PSC EMPORIO GROUP LLC,L26000456921,Florida Limited Liability Company,08/30/2026,Active,"912 ROBERTS RD, UNIT 18, LAKE HAMILTON, FL 33851","3145 PARTINGTON BLVD, DAVENPORT, FL 33837",LAKE HAMILTON,FL,33851,PARRAGA GONZALEZ SUHEY A,SUHEY A PARRAGA GONZALEZ,MGR,
"GROW YOUR LAND, INC.",N26000012211,DOMN,09/01/2026,Active,"1009 EVANS LOOP, LAKE WALES, FL 33853","1009 EVANS LOOP, LAKE WALES, FL 33853",LAKE WALES,FL,33853,REINHARDT RICHARD J,RICHARD REINHARDT,P,
PROVIDENCE WAY GROUP LLC,L26000457271,Florida Limited Liability Company,08/31/2026,Active,"3829 CORSICAN PLACE, LAKE ALFRED, FLORIDA, FL 33850","3829 CORSICAN PLACE, LAKE ALFRED, FLORIDA 33850","LAKE ALFRED, FLORIDA",FL,33850,KUMYKOV ATMIR,,,
ONEEYENAIR LLC,L26000457991,Florida Limited Liability Company,08/31/2026,Active,"1405 ATHENS WAY, APT 304, DAVENPORT, FL 33837","1405 ATHENS WAY, APT 304, DAVENPORT, FL 33837",DAVENPORT,FL,33837,BAIRD LANIER D,LANIER D BAIRD,MGR,
LCGCJ LLC,L26000458311,Florida Limited Liability Company,08/31/2026,Active,"3818 MOLERA BEACH STREET, DAVENPORT, FL 33837","3818 MOLERA BEACH STREET, DAVENPORT, FL 33837",DAVENPORT,FL,33837,BERMEO SILVIA C,SILVIA C BERMEO,MGR,
"96533 CONSULTING, LLC",L26000459121,Florida Limited Liability Company,09/01/2026,Active,"2549 SR 557, LAKE ALFRED, FL 33850","112 HEATHERBROOKE CIRCLE, OVIEDO, FL 32765",LAKE ALFRED,FL,33850,"HOUSE OF WOLFE HOLDINGS, LLC",HOWARD F NEAL,MP,
BLUE WINGS BEHAVIORAL SOLUTIONS LLC,L26000457112,Florida Limited Liability Company,08/30/2026,Active,"402 HATFIELD RD, WINTER HAVEN, FL 33880","402 HATFIELD RD, WINTER HAVEN, FL 33880",WINTER HAVEN,FL,33880,MENENDEZ LISET,LISET MENENDEZ,MGR,
LIONESS BUILT LLC,L26000457662,Florida Limited Liability Company,08/31/2026,Active,"2402 DUFF RD, LAKELAND,, FL 33810","605 LESLIE DR, DEL CITY, OK 73115","LAKELAND,",FL,33810,JILES NICOLE L,NICOLE L JILES,AMBR,
IMTZR SERVICE LLC,L26000457692,Florida Limited Liability Company,08/31/2026,Active,"511 AVENUE J SE, WINTER HAVEN, FL 33880","511 AVENUE J SE, WINTER HAVEN, FL 33880",WINTER HAVEN,FL,33880,NORTHWEST REGISTERED AGENT LLC,ISMAEL MARTINEZ RIVERA,AMBR,
CEG ONE TRANSPORT LLC,L26000458472,Florida Limited Liability Company,08/31/2026,Active,"825 E LIME ST, LAKELAND, FL 33801","825 E LIME ST, LAKELAND, FL 33801",LAKELAND,FL,33801,GONZALEZ CLAUDIO EJR,CLAUDIO EJR GONZALEZ,MGR,
3 KINGS3 LAWCARE L.L.C,L26000458622,Florida Limited Liability Company,08/31/2026,Active,"125 MELISSA TRAIL, AUBURNDALE, FL 33823","125 MELISSA TRAIL, AUBURNDALE, FL 33823",AUBURNDALE,FL,33823,DENSON KEVIN C,,,
STEPHEN AND SONS LAWN CARE AND MORE LLC,L26000458922,Florida Limited Liability Company,08/31/2026,Active,"125 BRANDY CHASE BLVD, WINTER HAVEN, FL 33880","125 BRANDY CHASE BLVD, WINTER HAVEN, FL 33880",WINTER HAVEN,FL,33880,CHOINIERE STEPHEN L,STEPHEN L CHOINIERE,AMBR,
PAWS & TRAILS LLC,P26000043633,Domestic Profit Corporation,08/31/2026,Active,"3373 WAKEFIELD DR, HAINES CITY, FL 33844","3373 WAKEFIELD DR, HAINES CITY, FL 33844",HAINES CITY,FL,33844,IGLESIAS MARIA B,MARIA B IGLESIAS,P,
WISE APPLE EDUCATIONAL AND CONSULTING SERVICES LLC,L26000457033,Florida Limited Liability Company,09/01/2026,Active,"3132 GOWAN DR., APT. 102, WINTER HAVEN, FL 33884","3132 GOWAN DR., APT. 102, WINTER HAVEN, FL 33884",WINTER HAVEN,FL,33884,PENA GRISSELLE,GRISSELLE PENA,MGR,
