title,address,city,state,postalCode,phone,phoneUnformatted,website,totalScore,reviewsCount,url,categoryName,categories,searchString,placeId
Taylor's Roofing,"108 Dr JA Wiltshire Ave, Lake Wales, FL 33853",Lake Wales,Florida,33853,(863) 676-2555,+18636762555,http://taylors-roofing.com/,4.8,121,https://www.google.com/maps/search/?api=1&query=Taylor's%20Roofing&query_place_id=ChIJYdx8pCUJ3YgR0uOnUHFcrkQ,Roofing contractor,Roofing contractor,roofing contractor,ChIJYdx8pCUJ3YgR0uOnUHFcrkQ
Elements Home Solutions Inc.,"2127 S 30th St, Haines City, FL 33844",Haines City,Florida,33844,(407) 946-1880,+14079461880,https://ehsflorida.com/,5,112,https://www.google.com/maps/search/?api=1&query=Elements%20Home%20Solutions%20Inc.&query_place_id=ChIJVfqXxOJ33YgRD9pBJf2RiU4,Roofing contractor,Roofing contractor|Solar energy company|Water damage restoration service,roofing contractor,ChIJVfqXxOJ33YgRD9pBJf2RiU4
Affordable Roofing (LLC),"5387 Baker Dairy Rd, Haines City, FL 33844",Haines City,Florida,33844,(863) 228-8232,+18632288232,https://affordableroofingllc.com/,5,87,https://www.google.com/maps/search/?api=1&query=Affordable%20Roofing%20(LLC)&query_place_id=ChIJhToqJzJ13YgRRRi4adIcIvc,Roofing contractor,Roofing contractor,roofing contractor,ChIJhToqJzJ13YgRRRi4adIcIvc
Mighty Dog Roofing of Central Florida,"200 Orange Co Cir, Winter Haven, FL 33881",Winter Haven,Florida,33881,(863) 766-2329,+18637662329,https://www.mightydogroofing.com/central-florida-fl/?utm_source=omg-gbp&utm_medium=webclick,4.9,169,https://www.google.com/maps/search/?api=1&query=Mighty%20Dog%20Roofing%20of%20Central%20Florida&query_place_id=ChIJcZ04eMs53YgRliK8mwUIUFo,Roofing contractor,Roofing contractor,roofing contractor,ChIJcZ04eMs53YgRliK8mwUIUFo
CH Evans Roofing,"5601 Cypress Gardens Rd, Winter Haven, FL 33884",Winter Haven,Florida,33884,(863) 220-7290,+18632207290,https://www.chevansroofingfl.com/roofing-company-winter-haven-fl/,4.9,118,https://www.google.com/maps/search/?api=1&query=CH%20Evans%20Roofing&query_place_id=ChIJK-P66kIN3YgRJ7vZ9el-LKU,Roofing contractor,Roofing contractor,roofing contractor,ChIJK-P66kIN3YgRJ7vZ9el-LKU
Ovando Roofing LLC,"414 Monroe Ln, Haines City, FL 33844",Haines City,Florida,33844,(407) 724-8717,+14077248717,http://ovandoroofing.com/,5,27,https://www.google.com/maps/search/?api=1&query=Ovando%20Roofing%20LLC&query_place_id=ChIJ0XXIHX9z3YgRu2pnHMB3SYo,Roofing contractor,Roofing contractor,roofing contractor,ChIJ0XXIHX9z3YgRu2pnHMB3SYo
TRROOFING LLC,"301 N 23rd St, Haines City, FL 33844",Haines City,Florida,33844,(863) 557-8452,+18635578452,http://trroofingllc.com/,5,12,https://www.google.com/maps/search/?api=1&query=TRROOFING%20LLC&query_place_id=ChIJj--H9rlz3YgRY_nsMbJMthw,Roofing contractor,Roofing contractor,roofing contractor,ChIJj--H9rlz3YgRY_nsMbJMthw
Menchaca Roofing,"118 E Stuart Ave Ste d, Lake Wales, FL 33853",Lake Wales,Florida,33853,(863) 412-1449,+18634121449,https://www.menchacaroofing.com/,5,16,https://www.google.com/maps/search/?api=1&query=Menchaca%20Roofing&query_place_id=ChIJ0xtJoOsN3YgR5hsjO2pobsA,Roofing contractor,Roofing contractor,roofing contractor,ChIJ0xtJoOsN3YgR5hsjO2pobsA
Mission Ready Roofing and Construction,"543 Ave K SE, Winter Haven, FL 33880",Winter Haven,Florida,33880,(863) 692-6278,+18636926278,https://www.missionrrc.com/,4.9,40,https://www.google.com/maps/search/?api=1&query=Mission%20Ready%20Roofing%20and%20Construction&query_place_id=ChIJbVWwXWUT3YgRhahzcRTdpWk,Roofing contractor,Roofing contractor,roofing contractor,ChIJbVWwXWUT3YgRhahzcRTdpWk
"Del Wolf Roofing, LLC","318 Hidden Lk Lp, Haines City, FL 33844",Haines City,Florida,33844,(833) 335-9653,+18333359653,https://www.delwolfroofing.com/,5,10,https://www.google.com/maps/search/?api=1&query=Del%20Wolf%20Roofing%2C%20LLC&query_place_id=ChIJpWk3oZ113YgRXUm_BtwpbFg,Roofing contractor,Roofing contractor,roofing contractor,ChIJpWk3oZ113YgRXUm_BtwpbFg
