Company,Likely main contact (name),Contact source,Phone,Website,Facebook page,Address,City,Zip,Google rating,Google reviews,DBPR license #,DBPR status,Sunbiz status,Sources found in,Notes
RIG Roofing,Amy R Nolan (Registered Agent),Sunbiz officer,(863) 294-4477,https://rigroofing.com/,https://www.facebook.com/RIGroofing/,"2001 Havendale Blvd NW, Winter Haven, FL 33881",Winter Haven,33881,4.8,650,,,DISSOLVED,Maps+Sunbiz,"Matched to 'RIG Roofing Franchise LLC' (address matches exactly); dissolution event filed 07/24/2024. This may be a separate franchising entity (rigroofingfranchise.com) rather than the local operating business - ambiguous. A separate active 'RIG Roofing' entity was also found at a different Windermere, FL address (unrelated match)."
High Tower Roofing,"SANGER, ROBERT EUGENE III",DBPR qualifier,(863) 334-3103,http://hightowerroofing.com/?utm_campaign=gmb,https://www.facebook.com/HighTowerRoofing/,"5302 Florida Ave S Ste 208, Lakeland, FL 33813",Lakeland,33813,4.8,635,CCC1330095,Active,ACTIVE,Maps+DBPR+Sunbiz,"Entity: High Tower Roofing & Contracting, LLC, doc# L12000070088. Address matches input.; One of 3 Polk County branch locations for this company"
Stronghold Roofing,"PATTERSON, NATHANIEL CURTIS",DBPR qualifier,(863) 400-3323,https://strongholdroofing.com/?utm_campaign=gmb&utm_medium=gmb&utm_source=google,https://www.facebook.com/StrongholdRoofingSolar/,"1820 E Edgewood Dr, Lakeland, FL 33803",Lakeland,33803,4.8,470,CCC1331698,Active,not found,Maps+DBPR,"Sunbiz search surfaced 'Stronghold Roofing LLC' at a Miami, FL address, not matching Lakeland - likely a different/unrelated entity. Could not confirm the correct Lakeland entity within search budget (sunbiz.org blocks direct page fetch). DBPR contact already on file per brief."
Bob & Jerry's Roofing Inc.,"DUNNING, ROBERT WILLIAM II",DBPR qualifier,(863) 965-9595,https://www.bobandjerrys.com/,https://www.facebook.com/BobandJerrysRoofingInc,"219 Orange St, Auburndale, FL 33823",Auburndale,33823,4.9,436,CCC1332821,Active,not found,Maps+DBPR,"Sunbiz search surfaced only a similarly-named but different entity ('Bob & Jerry's Home Repair Service, Inc.'); could not confirm the exact matching entity within search budget. DBPR contact already on file per brief."
K.L. Smith Inc.,,unknown,(863) 500-7611,https://klsmithinc.com/?src=google_mybusiness,https://www.facebook.com/klsmith.roofing/,"2519 Buckskin Rd, Lakeland, FL 33801",Lakeland,33801,4.9,315,,,not found,Maps,"Sunbiz entity confirmed to exist (K.L. Smith, Inc., doc# M97725) but status/officer detail was not retrievable within search budget (sunbiz.org blocks direct page fetch). Ken Smith is the publicly known founder/owner per company site/LinkedIn - not confirmed via Sunbiz officer record."
Jack Hall Jr's Construction Aluminum,Jack R Hall Jr (President and Registered Agent),Sunbiz officer,(863) 667-0068,http://www.jackhalljr.com/,https://www.facebook.com/JackHallJrsConstructionAluminum/,"3616 Waterfield Pkwy, Lakeland, FL 33803",Lakeland,33803,4.6,279,,,ACTIVE,Maps+Sunbiz,"Entity: Jack Hall Jr's Construction & Aluminum, Inc., doc# K34056, FEI 59-2909987. Reinstated 11/13/2018. Address matches input."
Musick Roofing,"MUSICK, MICHAEL LEN JR",DBPR qualifier,(863) 904-5350,http://www.musickroofing.com/,https://www.facebook.com/musickroofing/,"3600 County Line Rd, Lakeland, FL 33811",Lakeland,33811,4.9,240,CCC1331352,Active,INACTIVE,Maps+DBPR+Sunbiz,"Sunbiz shows 'Musick Roofing LLC' (filed 2018) administratively dissolved 09/27/2019. The currently operating business is branded 'Musick Construction & Roofing, LLC' per BBB - likely re-registered under a different/renamed entity after dissolution; not confirmed within search budget. DBPR contact already on file per brief."
"1st Class Roofing, Inc.","Dovonna J Roberts (VP, Registered Agent); Glenn J Roberts Jr",Sunbiz officer,(863) 324-4043,https://www.1stclassroofingincfl.com/,https://www.facebook.com/1stClassRoofingInc/,"1815 Thornhill Rd Ste 301S, Auburndale, FL 33823",Auburndale,33823,4.8,238,,,ACTIVE,Maps+Sunbiz,Entity doc# P13000082093. Address matches input.
Gullett Roofing,"GULLETT, BRIAN THOMAS",DBPR qualifier,(863) 412-2821,http://www.gullettroofing.com/,https://www.facebook.com/p/Gullett-Roofing-61585705867799/,"535 Bracey Rd, Lakeland, FL 33809",Lakeland,33809,5,208,CCC1328860,Active,ACTIVE,Maps+DBPR+Sunbiz,"Entity: Gullett Roofing, LLC, doc# L06000117465. Address matches input."
Copeland's Complete Construction LLC,"Jacob C Copeland (President, Manager, Registered Agent)",Sunbiz officer,(863) 213-0543,https://www.copelandscompleteconstruction.com/,https://www.facebook.com/CopelandsCompleteConstructionLLC/,"1048 1/2 US-92, Auburndale, FL 33823",Auburndale,33823,5,177,,,ACTIVE,Maps+Sunbiz,"Entity doc# L17000124629, FEI 82-1824807. Reinstated 10/04/2019. Address matches input."
