City,Firm name,Practice areas,Practice area buckets,Address,Phone,Website,Google rating,Review count,Google Maps URL,Has website (Y/N),Notes
Auburndale,Law Office of Ryan Cappy,Personal Injury,Personal Injury,"522 Magnolia Ave, Auburndale, FL 33823",(813) 512-6011,http://www.cappylaw.com/,5,1,https://www.google.com/maps/search/?api=1&query=Law%20Office%20of%20Ryan%20Cappy&query_place_id=ChIJuaDXGlJr3YgRsJTOnyVOdZc,Y,
Auburndale,Patriot Legal Group,"Estate Planning, Real Estate","Estate/Probate, Real Estate","10 Bobby Green Plaza, Auburndale, FL 33823",(863) 332-2114,https://www.patriotlegal.com/,4.1,22,https://www.google.com/maps/search/?api=1&query=Patriot%20Legal%20Group&query_place_id=ChIJp8fMjnlr3YgRkzds9t5ONLg,Y,
Auburndale,Patriot Title Law,Real Estate,Real Estate,"10 Bobby Green Plaza, Auburndale, FL 33823",(863) 663-6343,https://patriottitlelaw.com/,,,https://www.google.com/maps/search/?api=1&query=Patriot%20Title%20Law&query_place_id=ChIJ6_JlR01r3YgRhuTeiM_n-SU,Y,Title company operated as a real estate law firm (categories include Real estate attorney) - kept
Bartow,580 Bartow LLC,General/Unspecified,General,"580 E Main St, Bartow, FL 33830",(863) 533-4400,,4.7,3,https://www.google.com/maps/search/?api=1&query=580%20Bartow%20LLC&query_place_id=ChIJs4_AWL4X3YgR-oCpIZ4jyAE,N,
Bartow,"Advocate Law Firm, P.A.","Family Law, Divorce",Family/Divorce,"620 Polk St Building A, Bartow, FL 33830",(863) 644-5566,https://www.everarguedwithawoman.com/,4.3,105,https://www.google.com/maps/search/?api=1&query=Advocate%20Law%20Firm%2C%20P.A.&query_place_id=ChIJj32Ar8YX3YgRU0N7sz8Y5Pc,Y,
Bartow,Bartow Office,Administrative Law,Business,"415 E Main St #801, Bartow, FL 33830",,,5,1,https://www.google.com/maps/search/?api=1&query=Bartow%20Office&query_place_id=ChIJ_yGF_20X3YgR6TdrY8Gl3Eo,N,
Bartow,"Blenk Law, PA",General/Unspecified,General,"158 E Summerlin St, Bartow, FL 33830",(863) 534-3555,http://criminalattorneypolk.com/,4.3,25,https://www.google.com/maps/search/?api=1&query=Blenk%20Law%2C%20PA&query_place_id=ChIJX3cjC78X3YgR2tFb6ENOraM,Y,
Bartow,Boswell & Dunlap LLP,"Bankruptcy, Civil Litigation, Criminal Defense, Estate Planning, Family Law, Personal Injury, Real Estate","Business, General, Criminal/DUI, Estate/Probate, Family/Divorce, Personal Injury, Real Estate","245 S Central Ave, Bartow, FL 33830",(863) 533-7117,https://www.bosdun.com/,4.4,64,https://www.google.com/maps/search/?api=1&query=Boswell%20%26%20Dunlap%20LLP&query_place_id=ChIJ3bbhwL8X3YgRKi7YafgB6vY,Y,
Bartow,Bouchillon K C,General/Unspecified,General,"310 E Main St, Bartow, FL 33830",(863) 202-8922,,5,1,https://www.google.com/maps/search/?api=1&query=Bouchillon%20K%20C&query_place_id=ChIJIdZ_VL4X3YgRu746KP5ZdfI,N,
Bartow,"Brewer & Wilson, PLLC - Bartow Office",Criminal Defense,Criminal/DUI,"310 E Main St, Bartow, FL 33830",(863) 658-3833,http://www.brewerandwilson.com/,4.6,9,https://www.google.com/maps/search/?api=1&query=Brewer%20%26%20Wilson%2C%20PLLC%20-%20Bartow%20Office&query_place_id=ChIJtXxoMAQX3YgR-XkVyMLZoHc,Y,
Bartow,Combee Law Firm,General/Unspecified,General,"341 W Davidson St #302, Bartow, FL 33830",(863) 519-0314,http://www.combeelawfirm.com/,1,2,https://www.google.com/maps/search/?api=1&query=Combee%20Law%20Firm&query_place_id=ChIJ_3aEisAX3YgRk97fWwqJ8zc,Y,
Bartow,Criminal Conflict And Civil Regional Counsel,Criminal Defense,Criminal/DUI,"622 Polk St, Bartow, FL 33830",(863) 534-3689,,2.1,23,https://www.google.com/maps/search/?api=1&query=Criminal%20Conflict%20And%20Civil%20Regional%20Counsel&query_place_id=ChIJl4EXq8YX3YgRI0n06_GqYaY,N,
Bartow,David Carmichael BCS,General/Unspecified,General,"245 S Central Ave, Bartow, FL 33830",(863) 733-9119,,2.5,4,https://www.google.com/maps/search/?api=1&query=David%20Carmichael%20BCS&query_place_id=ChIJ3bbhwL8X3YgR3AsuuesRigM,N,
Bartow,Donaldson Law,General/Unspecified,General,"130 E Davidson St, Bartow, FL 33830",(407) 270-5025,https://www.donaldsonlawpa.com/,1,1,https://www.google.com/maps/search/?api=1&query=Donaldson%20Law&query_place_id=ChIJSYAveTsX3YgRsSMQaGqOuUc,Y,
Bartow,"Frost Law Firm, PA","Family Law, Divorce, Personal Injury","Family/Divorce, Personal Injury","395 S Central Ave, Bartow, FL 33830",(863) 533-0314,https://www.frostpa.com/,4.3,13,https://www.google.com/maps/search/?api=1&query=Frost%20Law%20Firm%2C%20PA&query_place_id=ChIJnzpq3r8X3YgRCteIvA_8d-0,Y,
Bartow,George T. Dunlap III,General/Unspecified,General,"245 S Central Ave, Bartow, FL 33830",(863) 533-7117,http://www.bosdun.com/,5,1,https://www.google.com/maps/search/?api=1&query=George%20T.%20Dunlap%20III&query_place_id=ChIJ3bbhwL8X3YgRGMyc1ocETWc,Y,
Bartow,Heart of Florida Legal Aid,"Family Law, Divorce",Family/Divorce,"550 E Davidson St, Bartow, FL 33830",(863) 519-5663,http://www.hofla.org/,3,36,https://www.google.com/maps/search/?api=1&query=Heart%20of%20Florida%20Legal%20Aid&query_place_id=ChIJWTNfhb4X3YgRzAnmZ_1eeEU,Y,
Bartow,John Liguori,General/Unspecified,General,"345 W Davidson St #201, Bartow, FL 33830",(863) 533-6143,,4.8,43,https://www.google.com/maps/search/?api=1&query=John%20Liguori&query_place_id=ChIJuZGhisAX3YgRP0YRamiEWwQ,N,
Bartow,"Joshua E. Schoen, P.A.",Criminal Defense,Criminal/DUI,"620 Polk St, Bartow, FL 33830",(863) 660-2185,http://www.joshlawfirm.com/,5,5,https://www.google.com/maps/search/?api=1&query=Joshua%20E.%20Schoen%2C%20P.A.&query_place_id=ChIJ__9rqcYX3YgR02JX5FKXvc0,Y,
Bartow,"Karen I. Meeks, P.A","Family Law, Criminal Defense","Family/Divorce, Criminal/DUI","160 E Summerlin St #208, Bartow, FL 33830",(863) 534-8300,,3.3,17,https://www.google.com/maps/search/?api=1&query=Karen%20I.%20Meeks%2C%20P.A&query_place_id=ChIJKfxBds8X3YgRfaonNTgYmkQ,N,
Bartow,Kelley W Collier PA,Criminal Defense,Criminal/DUI,"1125 E Main St, Bartow, FL 33830",(863) 534-9318,https://www.legalmatch.com/home/atty/profilePopUp.do?attorneyNumber=1912843747988A&profileId=1475991&ia=true,3.7,83,https://www.google.com/maps/search/?api=1&query=Kelley%20W%20Collier%20PA&query_place_id=ChIJe3QgH6MX3YgRe5dw8kMZ1EU,Y,
Bartow,Lasseigne & Ladner P.A. Attorneys at Law,General/Unspecified,General,"205 N Mill Ave, Bartow, FL 33830",(863) 422-2047,https://rymap.org/business/lasseigne-ladner-pa-attorneys-at-law-f8ctvb,4.4,33,https://www.google.com/maps/search/?api=1&query=Lasseigne%20%26%20Ladner%20P.A.%20Attorneys%20at%20Law&query_place_id=ChIJmfv3_sAX3YgRP_9ebcF5qjQ,Y,
Bartow,"Law Office of Cory Chastang, PA",Criminal Defense,Criminal/DUI,"510 S Broadway Ave, Bartow, FL 33830",(863) 400-5810,https://www.chastanglaw.com/?npcmp=dir:local:5369904:33830,4.7,14,https://www.google.com/maps/search/?api=1&query=Law%20Office%20of%20Cory%20Chastang%2C%20PA&query_place_id=ChIJmcjH4yYX3YgRzdWXTjQIilk,Y,
Bartow,"Law Office of Michael Dicks, P.A.","Family Law, Civil Litigation, Criminal Defense, Personal Injury","Family/Divorce, General, Criminal/DUI, Personal Injury","580 E Main St, Bartow, FL 33830",(863) 533-0507,http://michaeldickslaw.com/,4.7,49,https://www.google.com/maps/search/?api=1&query=Law%20Office%20of%20Michael%20Dicks%2C%20P.A.&query_place_id=ChIJp1K_Z74X3YgRSYVjPHQqceQ,Y,
Bartow,Law Office of Robert A. Norgard,Criminal Defense,Criminal/DUI,"310 E Main St, Bartow, FL 33830",(863) 533-8556,https://www.norgardlaw.com/,3.4,5,https://www.google.com/maps/search/?api=1&query=Law%20Office%20of%20Robert%20A.%20Norgard&query_place_id=ChIJ_3aEisAX3YgR1Ul5gfv-B2Q,Y,
Bartow,Lobb & Mohr,"Family Law, Criminal Defense","Family/Divorce, Criminal/DUI","295 W Summerlin St, Bartow, FL 33830",(863) 533-4433,https://www.lobbmohr.com/,4.7,108,https://www.google.com/maps/search/?api=1&query=Lobb%20%26%20Mohr&query_place_id=ChIJAwqZDsAX3YgR8hiTBFNTUsQ,Y,
Bartow,"Lopez & Humphries, P.A. - Car Accident Lawyers - Bartow",Personal Injury,Personal Injury,"205 N Mill Ave, Bartow, FL 33830",(863) 774-3407,https://www.lopezandhumphries.com/?fct=001&utm_source=GMB&utm_medium=organic&utm_campaign=bartow,4.7,28,https://www.google.com/maps/search/?api=1&query=Lopez%20%26%20Humphries%2C%20P.A.%20-%20Car%20Accident%20Lawyers%20-%20Bartow&query_place_id=ChIJgdibwodt3YgRx6cNXEWphW4,Y,
Bartow,"Mark A. Taylor, PA","Criminal Defense, Personal Injury","Criminal/DUI, Personal Injury","341 W Davidson St #302, Bartow, FL 33830",(863) 519-7100,,4.5,16,https://www.google.com/maps/search/?api=1&query=Mark%20A.%20Taylor%2C%20PA&query_place_id=ChIJM29A-1MX3YgRDewBI01xtqE,N,
Bartow,McKinley Law Firm,General/Unspecified,General,"190 E Davidson St, Bartow, FL 33830",(863) 533-6698,http://www.mckinleylaw.net/,3.8,27,https://www.google.com/maps/search/?api=1&query=McKinley%20Law%20Firm&query_place_id=ChIJ0zcrDL8X3YgRPRa44DGxzXo,Y,Multi-branch: 2 Polk County locations for this firm
Bartow,"McNelis Law, P.A.","Family Law, Criminal Defense","Family/Divorce, Criminal/DUI","158 E Summerlin St, Bartow, FL 33830",(863) 537-7370,https://www.mcnelislawpa.com/,4.3,31,https://www.google.com/maps/search/?api=1&query=McNelis%20Law%2C%20P.A.&query_place_id=ChIJeXkFv78X3YgRQT15fd9Udoo,Y,
Bartow,Miller Keith D,General/Unspecified,General,"245 S Central Ave, Bartow, FL 33830",(863) 533-7117,https://www.bosdun.com/team/keith-d-miller/,4,4,https://www.google.com/maps/search/?api=1&query=Miller%20Keith%20D&query_place_id=ChIJ3bbhwL8X3YgRGNnj1iMHkwc,Y,
Bartow,"Moody Law, P.A.",Personal Injury,Personal Injury,"575 N Broadway Ave, Bartow, FL 33830",(863) 456-7847,https://www.moodylaw.com/locations/bartow-office/,4.9,69,https://www.google.com/maps/search/?api=1&query=Moody%20Law%2C%20P.A.&query_place_id=ChIJ15qoUr8X3YgR56a3zLIvvhg,Y,Multi-branch: 2 Polk County locations for this firm
Bartow,Musca Law,General/Unspecified,General,"240 N Broadway Ave, Bartow, FL 33830",(888) 484-5057,https://www.muscalaw.com/locations/bartow,5,1,https://www.google.com/maps/search/?api=1&query=Musca%20Law&query_place_id=ChIJKf0ZDwAX3YgR35B3wflYWQM,Y,Multi-branch: 2 Polk County locations for this firm
Bartow,Nathaniel White Attorney At Law,"Criminal Defense, Divorce, Family Law","Criminal/DUI, Family/Divorce","515 E Main St, Bartow, FL 33830",(863) 534-3617,,4.5,27,https://www.google.com/maps/search/?api=1&query=Nathaniel%20White%20Attorney%20At%20Law&query_place_id=ChIJZThVZL4X3YgR0Gj1j0_hDqQ,N,
Bartow,Parker Sean R,General/Unspecified,General,"245 S Central Ave, Bartow, FL 33830",(863) 533-7117,https://www.bosdun.com/team/sean-r-parker/,3,2,https://www.google.com/maps/search/?api=1&query=Parker%20Sean%20R&query_place_id=ChIJ3bbhwL8X3YgRgT55fwnPjfU,Y,
Bartow,Saunders Law Group,General/Unspecified,General,"480 S Broadway Ave, Bartow, FL 33830",(863) 533-6200,https://www.saunders-law.com/?npcmp=dir:local:3972853:33830,4.2,37,https://www.google.com/maps/search/?api=1&query=Saunders%20Law%20Group&query_place_id=ChIJdwGsQpUX3YgRRG1QonWo5_o,Y,
Bartow,Sensabaugh Terry K,Family Law,Family/Divorce,"1685 Margaret Ave, Bartow, FL 33830",(863) 205-6363,,5,1,https://www.google.com/maps/search/?api=1&query=Sensabaugh%20Terry%20K&query_place_id=ChIJlQ8RpfMX3YgRR3HBL1g8pEg,N,
Bartow,State Attorney's Office 10th Judicial Circuit,Criminal Defense,Criminal/DUI,"255 N Broadway Ave, Bartow, FL 33830",(863) 534-4800,http://www.sao10.com/,2.6,17,https://www.google.com/maps/search/?api=1&query=State%20Attorney's%20Office%2010th%20Judicial%20Circuit&query_place_id=ChIJoaOsbr8X3YgRPVx6rAL3S9k,Y,
Bartow,Stidham & Stidham,General/Unspecified,General,"150 E Davidson St, Bartow, FL 33830",(863) 533-0866,http://www.stidhamlawyers.com/,3.4,5,https://www.google.com/maps/search/?api=1&query=Stidham%20%26%20Stidham&query_place_id=ChIJM2dxDb8X3YgReUj3sGwb4I0,Y,
Bartow,Sutton Law Firm,Family Law,Family/Divorce,"325 W Main St, Bartow, FL 33830",(863) 400-3401,https://www.suttonlawfirm.net/locations/bartow-office/,4.5,72,https://www.google.com/maps/search/?api=1&query=Sutton%20Law%20Firm&query_place_id=ChIJD0M_Z_UX3YgR_U8JE41gjNo,Y,Multi-branch: 2 Polk County locations for this firm
Bartow,"The Buerger Law Firm, P.A.",Criminal Defense,Criminal/DUI,"766 E Main St, Bartow, FL 33830",(863) 537-7907,https://www.attorneybuerger.com/?utm_source=google-my-business&utm_medium=organic&utm_campaign=gmb&utm_term=winter-haven-fl&utm_content=website,5,8,https://www.google.com/maps/search/?api=1&query=The%20Buerger%20Law%20Firm%2C%20P.A.&query_place_id=ChIJD2ajTbwX3YgRdLLE5A2fYQA,Y,
Bartow,The Concepcion Law Firm,Criminal Defense,Criminal/DUI,"113 E Main St Ste 2, Bartow, FL 33830",(863) 900-5297,http://www.concepcionlawfirm.com/,4.9,25,https://www.google.com/maps/search/?api=1&query=The%20Concepcion%20Law%20Firm&query_place_id=ChIJJ1TqkBc53YgRJfJ6FFHCNuw,Y,
Bartow,The Flynn Law Group,Criminal Defense,Criminal/DUI,"345 W Davidson St, Bartow, FL 33830",(863) 533-6707,,4.5,10,https://www.google.com/maps/search/?api=1&query=The%20Flynn%20Law%20Group&query_place_id=ChIJlyP0XsAX3YgRYGLeo3bq3d4,N,
Bartow,The Franklin Law Firm PA,General/Unspecified,General,"343 W Davidson St #103, Bartow, FL 33830",(863) 519-0700,,4.3,18,https://www.google.com/maps/search/?api=1&query=The%20Franklin%20Law%20Firm%20PA&query_place_id=ChIJGR7SYMAX3YgR6HDW5KFro5I,N,
Bartow,"The Law Firm of Gil Colón, Jr.","Family Law, Criminal Defense","Family/Divorce, Criminal/DUI","325 E Davidson St, Bartow, FL 33830",(863) 622-9602,https://www.gilcolonjr.com/?utm_source=referral&utm_medium=gbp&utm_campaign=gbp,4.7,283,https://www.google.com/maps/search/?api=1&query=The%20Law%20Firm%20of%20Gil%20Col%C3%B3n%2C%20Jr.&query_place_id=ChIJewRe-L4X3YgRrAA1DyALYO4,Y,Multi-branch: 2 Polk County locations for this firm
Bartow,"The Rivas Law Firm, P.A.",Criminal Defense,Criminal/DUI,"115 E Main St Ste 3, Bartow, FL 33830",(407) 553-9344,https://theorlandocriminaldefense.com/,3,2,https://www.google.com/maps/search/?api=1&query=The%20Rivas%20Law%20Firm%2C%20P.A.&query_place_id=ChIJecSYBHEX3YgRL0Kng6USwzw,Y,
Bartow,The Rodriguez Law Office,Criminal Defense,Criminal/DUI,"690 E Davidson St, Bartow, FL 33830",(863) 774-4556,https://www.rodriguezcriminaldefense.com/,4.9,127,https://www.google.com/maps/search/?api=1&query=The%20Rodriguez%20Law%20Office&query_place_id=ChIJdf7li6gX3YgRAEkdd2GOMSg,Y,
Bartow,The Wright Law Firm,General/Unspecified,General,"415 E Main St, Bartow, FL 33830",(863) 529-4842,,5,1,https://www.google.com/maps/search/?api=1&query=The%20Wright%20Law%20Firm&query_place_id=ChIJ58pGXL4X3YgR7gGGdzORk4A,N,
